Act Name,Act Code
Select Act Type,
14A foreigners Amendmant Act 2004,1105
A and N Prohibition of Cow Slaughter Reg 1967,1107
Absorbed Areas (Laws) Act,1
Acquired Territories (Merger) Act,2
Acquisition of Certain Area at Ayodhya Act,3
Actquaries Act,72
Additional Duties of Excise (Goods of Special Importance) Act,4
Additional Duties of Excise (Textiles and Textile Articles) Act,5
Additional Emoluments (Compulsory Deposit) Act,6
Administrative Tribunal (Amendment) Act,8
Administrative Tribunals Act,7
Administrators-General Act,9
Advocates Act,10
Advocates’ Welfare Fund Act,11
African Development Bank Act,12
African Development Fund Act,13
"Agricultural and Processed Food Products Export   Development Authority Act, 1985",14
Agricultural Produce (Grading and Marking) Act,15
Agriculturists' Loans Act,16
Air Corporations (Transfer of Undertakings and Repeal) Act,20
Aircraft Act,17
Air Force Act,21
Airports Authority of India Act,18
Airports Economic Regulatory Authority of India Act,19
Air (Prevention and Control of Pollution) Act,22
Air (Prevention and Control of Pollution) Amendment Act,23
Ajmer Tenancy and Land Records Act,24
Alcock Ashdown Company Limited (Acquisition of Undertakings Act,25
Aligarh Muslim University Act,26
All-India Council for Technical  Education Act,27
All-India Institute of Medical Sciences Act,28
All-India Services Act,29
All-India Services Regulations (Indemnity) Act,30
Aluminium Corporation of India Limited (Acquisition and  Transfer of Aluminium) Undertaking Act,31
Amending Act  -1901,33
Amending Act – 1903,34
Amending Act – 1987,32
Amritsar Oil Works (Acquisition and Transfer of  Undertakings) Act,35
Anand Marriage Act,36
Ancient Monuments and Archaeological Sites and Remains Act,37
Ancient Monuments Preservation Act,38
"Andaman and Nicobar Islands Protection of Aborignal Tribes Regulation,1956 PAT",1101
Andaman and Nicobar Islands Regulation No III of 1876,1102
"Andaman and Nicobar Rent Control Regulation,1964",1103
Andaman & Nicobar Islands Fisheries Regulation 1938,1114
Andhra Pradesh and Madras (Alteration of  Boundaries) Act,39
Andhra Pradesh and Mysore (Transfer of Territory) Act,40
"Andhra Pradesh Legislative Council Act, 2005",41
Andhra Scientific Company Limited (Acquisition and Transfer  of Undertakings) Act,42
Andhra State Act,43
Anti-Apartheid (United Nations Convention) Act,44
Anti-Corruption Laws (Amendment) Act,45
Anti-Hijacking Act,46
Antiquities and Art Treasures Act,47
Anusandhan National Research Foundation Act,1119
Apprentices Act,48
Arbitration and Conciliation Act,49
Architects Act,50
Armed Forces (Emergency Duties) Act,51
Armed Forces (Jammu and Kashmir) Special Powers Act,52
Armed Forces (Punjab and Chandigarh) Special Powers Act,53
